objectid,filename,title,title,description,format,subject,grouping,location,latitude,longitude,collection_grouping_location_notes,accession_number,museum_entry_link,collection_number,file_count,artist,culture,country,date_photographed,earliest_date,latest_date,date,year,style_or_period,materials_or_techniques,measurements,creation_or_discovery_site,tags,photographer,relationships,rights,license_info,,,,,,,,,,,,,
SSID24848206_P7280270.JPG,https://archive.org/download/SSID24848206_P7280270.JPG/SSID24848206_P7280270.JPG,Clarinet Collection,Clarinet Collection,A case of clarinet-type instruments from various cultures.,image/jpeg,music;clarinet;double clarinet;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-272240,,1,,,Africa or Asia,7/29/17,,1892,1892,1892,,"bird bone, string, reed, wax, bead",50 mm,,clarinet; double clarinet; wind; ethnomusicology,,,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842641_P7280310.JPG,https://archive.org/download/SSID24842641_P7280310.JPG/SSID24842641_P7280310.JPG,Bagpipes,Bagpipes,(Top left) Bagpipes with a long red tassel.,image/jpeg,music;bagpipe;wind;ethnomusicology;red figure,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1957.7.1.1B,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-40865,,1,,Spanish,Spain,7/29/17,,1957,1957,1957,,"wood, rubber, textile, cane, aluminum","660 mm drone, 300 mm chanter","Santiago de Compostela, Galicia, Spain",bagpipes; wind; ethnomusicology,,,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842638_P7280307b.JPG,https://archive.org/download/SSID24842638_P7280307b.JPG/SSID24842638_P7280307b.JPG,Hne,Hne,"(Bottom right) An oboe-like instrument called a hne, with a brass bell that fits loosely over the end of the pipe.",image/jpeg,music;oboe;wind;ethnomusicology;red figure,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1886.15.20,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-41981,,1,,Burman,Myanmar,7/29/17,,1886,1886,1886,,brass,"534 mm, 54 mm mouthpiece, Diameter 118 mm bell, 196 mm bell",,oboe; wind; ethnomusicology,,P7280307a,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842637_P7280307a.JPG,https://archive.org/download/SSID24842637_P7280307a.JPG/SSID24842637_P7280307a.JPG,Oboe,Oboe,(Center) Oboe of turned wood with a brass bell and 7 finger holes.,image/jpeg,music;oboe;wind;ethnomusicology;red figure,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1884.111.40,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-150977,,1,,Indian,India,7/29/17,,1874,1874,1874,,"wood, brass","Diameter 88 mm bell, Diameter 34 mm pirouette, Length: max 476 mm, Length 96 mm mouthpiece",,oboe; wind; ethnomusicology,,P7280307b,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842636_P7280304.JPG,https://archive.org/download/SSID24842636_P7280304.JPG/SSID24842636_P7280304.JPG,Oboe,Oboe,(Middle) Small oboe of turned wood with a bell-shaped end.,image/jpeg,music;oboe;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1884.111.41,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-150978,,1,,Chinese,China,7/29/17,1800,1884,1884,1884,,"wood, brass, reed","Diameter 78 mm bell, Diameter 34 mm pirouette, Length: max 289 mm, Length 46 mm mouthpiece",,oboe; wind; ethnomusicology,,,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842635_P7280257.JPG,https://archive.org/download/SSID24842635_P7280257.JPG/SSID24842635_P7280257.JPG,Zummara(H); Double Clarinet,Zummara(H); Double Clarinet,"Reed double clarinet with two pipes joined by string and pitch; one reed is missing, and the pipes have 5 finger holes each.",image/jpeg,music;clarinet;double clarinet;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1890.25.4,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-40997,,1,,"Egyptian, Coptic",Egypt,7/29/17,700,800,800,800,,"reed, string, pitch",Length: max 155 mm,"El Lahun, Egypt",clarinet; double clarinet; zummara(h); wind; ethnomusicology; Illahun; Coptic,,,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842633_P7280271.JPG,https://archive.org/download/SSID24842633_P7280271.JPG/SSID24842633_P7280271.JPG,Metal Clarinet,Metal Clarinet,A metal clarinet with a brass tongue.,image/jpeg,music;clarinet;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1908.46.4,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-40978,,1,,Italian,Italy,7/29/17,,1907,1907,1907,,"metal, brass",Length: max 155 mm,Naples,clarinet; wind; ethnomusicology,,,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842632_P7280264.JPG,https://archive.org/download/SSID24842632_P7280264.JPG/SSID24842632_P7280264.JPG,Na Kpak (Clarinet),Na Kpak (Clarinet),"A clarinet with a lateral single-beating reed, a single finger hole, and a strychnos fruit-shell with perforations at each end.",image/jpeg,music;clarinet;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1935.35.3,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-40904,,1,,"African, Ghanaian",Ghana,7/29/17,,1935,1935,1935,,"reed, strychnos fruit-shell",Length: max 670 mm,"Tallensi, Tong Hills, Gold Coast, Ghana",clarinet; wind; Africa; ethnomusicology,,,https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842631_P7280259c.JPG,https://archive.org/download/SSID24842631_P7280259c.JPG/SSID24842631_P7280259c.JPG,Zummara(H); Double Clarinet,Zummara(H); Double Clarinet,"(Right) double clarinet with two white bird-bone pipes with six finger holes each; the pipes are held together by string and bees' wax, and there are colored beads in the bees' wax.",image/jpeg,music;clarinet;double clarinet;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,,1893.63.2,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-41012,,1,,"African, Arab",Egypt,7/29/17,,1892,1892,1892,,"bird-bone, string, beeswax","Length: max 50 mm [.3], Length: max 50 mm [.2], Length: max 250 mm [.1]",,clarinet; double clarinet; wind; ethnomusicology,,"P7280259a, P7280259b",https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
SSID24842629_P7280259b.JPG,https://archive.org/download/SSID24842629_P7280259b.JPG/SSID24842629_P7280259b.JPG,Reed Clarinet,Reed Clarinet,(Middle) Reed clarinet with six finger holes and a tin bell.,image/jpeg,music;clarinet;wind;ethnomusicology,Collection,"Oxford Pitt Rivers Museum, Oxford",51.75903599,-1.255062288,Reed instrument collection,1886.17.4,https://www.prm.ox.ac.uk/collections-online#/item/prm-object-40899,,1,,"African, Egyptian, Arab",Egypt,7/29/17,,1886,1886,1886,,"reed, tin","Length 240 mm pipe and reed, Length: max 372 mm, Diameter 45 mm bell",,clarinet; wind;  ethnomusicology,,"P7280259a, P7280259c",https://creativecommons.org/licenses/by-nc/4.0/,License terms apply only to those works and material in which copyright subsists. No rights are asserted to photographic reproductions of public domain materials.,,,,,,,,,,,,,
